KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
guerrero-san luis acatlan,guerrero-san luis acatlan,100,12,Guerrero,52,San Luis Acatlán,guerrero-san luis acatlan
guerrero-coahuayutla de jose maria izazaga,guerrero-coahuayutla de jose maria izazaga,100,12,Guerrero,16,Coahuayutla de José María Izazaga,guerrero-coahuayutla de jose maria izazaga
guerrero-cuetzala del progreso,guerrero-cuetzala del progreso,100,12,Guerrero,26,Cuetzala del Progreso,guerrero-cuetzala del progreso
guerrero-eduardo neri,guerrero-eduardo neri,100,12,Guerrero,75,Eduardo Neri,guerrero-eduardo neri
guerrero-arcelia,guerrero-arcelia,100,12,Guerrero,7,Arcelia,guerrero-arcelia
guerrero-copanatoyac,guerrero-copanatoyac,100,12,Guerrero,20,Copanatoyac,guerrero-copanatoyac
guerrero-taxco de alarcon,guerrero-taxco de alarcon,100,12,Guerrero,55,Taxco de Alarcón,guerrero-taxco de alarcon
guerrero-ahuacuotzingo,guerrero-ahuacuotzingo,100,12,Guerrero,2,Ahuacuotzingo,guerrero-ahuacuotzingo
guerrero-zapotitlan tablas,guerrero-zapotitlan tablas,100,12,Guerrero,72,Zapotitlán Tablas,guerrero-zapotitlan tablas
guerrero-xalpatlahuac,guerrero-xalpatlahuac,100,12,Guerrero,69,Xalpatláhuac,guerrero-xalpatlahuac
guerrero-cutzamala de pinzon,guerrero-cutzamala de pinzon,100,12,Guerrero,27,Cutzamala de Pinzón,guerrero-cutzamala de pinzon
guerrero-tecpan de galeana,guerrero-tecpan de galeana,100,12,Guerrero,57,Técpan de Galeana,guerrero-tecpan de galeana
guerrero-metlatonoc,guerrero-metlatonoc,100,12,Guerrero,43,Metlatónoc,guerrero-metlatonoc
guerrero-tlacoachistlahuaca,guerrero-tlacoachistlahuaca,100,12,Guerrero,62,Tlacoachistlahuaca,guerrero-tlacoachistlahuaca
guerrero-malinaltepec,guerrero-malinaltepec,100,12,Guerrero,41,Malinaltepec,guerrero-malinaltepec
guerrero-tepecoacuilco de trujano,guerrero-tepecoacuilco de trujano,100,12,Guerrero,59,Tepecoacuilco de Trujano,guerrero-tepecoacuilco de trujano
guerrero-pungarabato,guerrero-pungarabato,100,12,Guerrero,50,Pungarabato,guerrero-pungarabato
guerrero-pedro ascencio alquisiras,guerrero-pedro ascencio alquisiras,100,12,Guerrero,47,Pedro Ascencio Alquisiras,guerrero-pedro ascencio alquisiras
guerrero-tlalixtaquilla de maldonado,guerrero-tlalixtaquilla de maldonado,100,12,Guerrero,65,Tlalixtaquilla de Maldonado,guerrero-tlalixtaquilla de maldonado
guerrero-jose joaquin de herrera,guerrero-jose joaquin de herrera,100,12,Guerrero,79,José Joaquín de Herrera,guerrero-jose joaquin de herrera
guerrero-cuajinicuilapa,guerrero-cuajinicuilapa,100,12,Guerrero,23,Cuajinicuilapa,guerrero-cuajinicuilapa
guerrero-xochistlahuaca,guerrero-xochistlahuaca,100,12,Guerrero,71,Xochistlahuaca,guerrero-xochistlahuaca
guerrero-atlamajalcingo del monte,guerrero-atlamajalcingo del monte,100,12,Guerrero,9,Atlamajalcingo del Monte,guerrero-atlamajalcingo del monte
guerrero-san marcos,guerrero-san marcos,100,12,Guerrero,53,San Marcos,guerrero-san marcos
guerrero-atenango del rio,guerrero-atenango del rio,100,12,Guerrero,8,Atenango del Río,guerrero-atenango del rio
guerrero-pilcaya,guerrero-pilcaya,100,12,Guerrero,49,Pilcaya,guerrero-pilcaya
guerrero-tetipac,guerrero-tetipac,100,12,Guerrero,60,Tetipac,guerrero-tetipac
guerrero-iliatenco,guerrero-iliatenco,100,12,Guerrero,81,Iliatenco,guerrero-iliatenco
guerrero-huamuxtitlan,guerrero-huamuxtitlan,100,12,Guerrero,33,Huamuxtitlán,guerrero-huamuxtitlan
guerrero-apaxtla,guerrero-apaxtla,100,12,Guerrero,6,Apaxtla,guerrero-apaxtla
guerrero-juchitan,guerrero-juchitan,100,12,Guerrero,80,Juchitán,guerrero-juchitan
guerrero-florencio villarreal,guerrero-florencio villarreal,100,12,Guerrero,30,Florencio Villarreal,guerrero-florencio villarreal
guerrero-general canuto a. neri,guerrero-general canuto a. neri,100,12,Guerrero,31,General Canuto A. Neri,guerrero-general canuto a. neri
guerrero-atlixtac,guerrero-atlixtac,100,12,Guerrero,10,Atlixtac,guerrero-atlixtac
guerrero-buenavista de cuellar,guerrero-buenavista de cuellar,100,12,Guerrero,15,Buenavista de Cuéllar,guerrero-buenavista de cuellar
guerrero-cuautepec,guerrero-cuautepec,100,12,Guerrero,25,Cuautepec,guerrero-cuautepec
guerrero-iguala de la independencia,guerrero-iguala de la independencia,100,12,Guerrero,35,Iguala de la Independencia,guerrero-iguala de la independencia
guerrero-mochitlan,guerrero-mochitlan,100,12,Guerrero,44,Mochitlán,guerrero-mochitlan
guerrero-alpoyeca,guerrero-alpoyeca,100,12,Guerrero,5,Alpoyeca,guerrero-alpoyeca
guerrero-cocula,guerrero-cocula,100,12,Guerrero,17,Cocula,guerrero-cocula
guerrero-marquelia,guerrero-marquelia,100,12,Guerrero,77,Marquelia,guerrero-marquelia
guerrero-cochoapa el grande,guerrero-cochoapa el grande,100,12,Guerrero,78,Cochoapa el Grande,guerrero-cochoapa el grande
guerrero-tlacoapa,guerrero-tlacoapa,100,12,Guerrero,63,Tlacoapa,guerrero-tlacoapa
guerrero-copala,guerrero-copala,100,12,Guerrero,18,Copala,guerrero-copala
guerrero-igualapa,guerrero-igualapa,100,12,Guerrero,36,Igualapa,guerrero-igualapa
guerrero-ixcateopan de cuauhtemoc,guerrero-ixcateopan de cuauhtemoc,100,12,Guerrero,37,Ixcateopan de Cuauhtémoc,guerrero-ixcateopan de cuauhtemoc
guerrero-copalillo,guerrero-copalillo,100,12,Guerrero,19,Copalillo,guerrero-copalillo
guerrero-xochihuehuetlan,guerrero-xochihuehuetlan,100,12,Guerrero,70,Xochihuehuetlán,guerrero-xochihuehuetlan
guerrero-cualac,guerrero-cualac,100,12,Guerrero,24,Cualác,guerrero-cualac
